text,punctual/duritive,telicity
"Melt the coconut oil, maple syrup, and vanilla extract in a small saucepan. Then add the salt and cocoa powder and whisk until smooth.",punctual,telic
Chop chocolate into small even sized chunks (or use pre-packaged chips).,punctual,telic
"Now let's begin1. Do the sanding over the wooden stand with the sanding paper, nice & smooth~2. Put on your gloves3. Shake the stain bottle before use, then pour on a disposable plate ",punctual,telic
"a sharp knife, a table knife, a teaspoon, a strainer,a plate.",,telic
Cut the cheese in half and use a slice and a half filling the spaces of the bread allowing the gooey cheese to get everywhere.,punctual,telic
See photos and full recipe with directions at my blog Petite Allergy Treats,durative,telic
"On a floured work surface, form the dough into a rectangle shape.",durative,telic
Chocolate bar or chipsPretzels or pretzel sticks,,telic
Pink Pork Product.,,telic
Place the shredded veggie burger on top of the assembled pizzas,durative,telic
"Drain the ground beef leaving a small amount of grease in the pot with the ground beef and add the rotel, cream of chicken soup, taco seasoning,chopped jalapeno and 1 soup can full of water.",durative,telic
"For an ultimate PBJ you might need peanut butter, jelly, bananas, honey, and anything else that might sound yummy to you personally. Lay out the two slices of bread next to each other on a clean counter or plate. ",durative,telic
All microwaves are different. I would recommend cooking in more than one step so that it is not overdone or you have a mess in the microwave.Using a loose cover is a good idea.&#160,durative,telic
"Cook the rice in your rice cooker or pot, I added a little butter to the rice after it was done to add some flavour. ",durative,telic
"Cut the bananas into 1 inch slices and freeze them. Freeze them on a tray, and when frozen take out put into plastic bags.",punctual,telic
"Once you have poured all of your drinks into the glasses, top with the foam topping you made.Serve the drinks and your done! :D *Please let me know what you think and if there is anything i could improve on, or that you feel would make it taste better. ",punctual,telic
Your going to need 2 apples one a little smaller than the other. And if you need it maybe a little peanut butter.,durative,telic
"Place the cupcake pans in the oven set at 350&#176; Fahrenheit and let bake for about 18 minutes. Once cooled, take a knife to carefully separate the brownie from the pan and remove onto a plate.",punctual,telic
make your favorite cheese ball recipe and put it in a bowl filled with plastic wrap,durative,telic
Next get a table spoon of hot chocolate powder and mix the ingrenadianats,durative,telic
Re-oil the pan and place the dough back into itBake in a pre-heated oven at 200 degrees for 30 minutes with the lid on and 15 with the lid offThe loaf should sound hollow when you tap it on the bottom when cooked,durative,telic
This is a key step. A little trick I learned is to put both slices of bread in the same slot of the toaster. This will toast only one side of each slice of bread for the perfect amount of crunch.,punctual,telic
but 4 nuts on your 4 bolts as picture shows.,durative,telic
Line two baking pans with foil. This is only optional if you like to wash pans that have been totally fracked up by molten sugary rock.,durative,telic
Who remembers this from their childhood?These homemade uncrustables can be filled with anything! - The classic peanut butter and jam is delicious but any leftovers from dinner also work amazingly too!If you don't have an uncrustable sandwich crimper - just go around the outside with the back of a fork!,durative,telic
"Using a table knife, spread your jam on the bottom cake oversoaked cream.",durative,telic
Place the candy canes in a sealed ziplock bag and roll with a rolling pin until crushed.,punctual,telic
Place the gelatin pack and the sugar in the stove pot and then mix together to form a fine powder,punctual,telic
"With a roller, you flatten the dough to give it a circular form. And with a stick, you make little holes to let the dough breath.&#160;",durative,telic
Fold three side flaps down evenly into the cavity of the carton.,punctual,telic
Measure down 2.5 cm from the new top edge.  Mark an horizontal line at this point on three sides.  Cut along line through three sides.  Leave band attached to one side of carton body.,punctual,telic
"I bought this foil from the craft store, its usually very easy to find. ",punctual,telic
"-Take one cup of rice flour in bowl and add All purpose flour (little less than half cup APF) to it.-Add sesame seeds,carom seeds and red chilli powder.",punctual,telic
"That's it! Your tomato jam is done! I love mine as a dip for grilled cheese sandwiches, topping for meatloaf, topping for crackers, anything! It's like fancy ketchup! ",durative,telic
"Place hamburger into a pot with 1/3 cup of water, season with salt and pepper",durative,telic
Fold three side flaps down evenly into the cavity of the carton.,punctual,telic
Step 1.) Gather your healthy material.u will need these following materials.- A popcorn maker- Popcorn kernels- Large bowl,durative,telic
cream the butter for three minutes or until it becomes pale in colour and is light and fluffy!,durative,telic
Bake cheesecake for 40-50 minutes at 375 degrees. Just to make sure constantly check on it so you don't over bake!!!!!!!!!,durative,telic
Microwave 1 veggie burger,durative,telic
Cook for another minute of two and remove from the skillet. Cut sammich in half on a plate.,durative,telic
"In a large bowl, dice up 4 cups of apples of your choice",punctual,telic
Use a non stick pan if possible and allow to heat up before adding the first knob of butterWith a long handled spoon or other tool move the butter to quickly cover the panN.B. It's important that you don't let the butter burn so keep an eye on the heat and reduce when necessary throughout the cook,durative,telic
"Take the chopped carrots, onion, celery, potato, and oil and saute it in the pan til the onions turn clear.&#160; Then add the cups of water and bring to a boil. Boil until the potatoes become soft, takes a while, like 30 minutes for me.",durative,telic
Large BowlMixing spoon/ Large spoon Cupcake tinMeasuring spoons and cupsElectric mixer (May be handheld) Serving plateIce cream scooper (optional) OvenPiping bag and tip (optional),,telic
"Your cheese ball should be chilled by now, so turn it out onto a platter and scoop out an entry way.",durative,telic
"In a small bowl, whisk together all the ingredients for the dressing and set aside.",durative,telic
Add salt and pepper to taste and blend for another half a minute. I didn&#8217,punctual,telic
Pour the pumpkin mixture into a greased dish.,durative,telic
Take the ham and place it deli style on top of the pickles. Deli style is half rolling it and placing them on top of each other. Go to a subway and watch how they put on the meat.,durative,telic
Chop up the baked potatoes,punctual,telic
nope. we got kernels. only need like... about an ounce?(bad linux joke. im not sorry),durative,telic
Prepare grill or heat skillet (sprayed with cooking spray) to a medium-high heat. Rub a little olive oil on the chicken breasts to prevent sticking and place on a hot grill. Lower temperature to medium. Cook for 7 minutes or until mostly cooked through and flip chicken breast.,durative,telic
"Measure up 9 cm from bottom of carton, make a mark at corner junction.  Make a cut from this mark, through the corner up to the band.",durative,telic
"Refrigerate the bark until completely hardened. Once hardened, remove from the pan and peel off the parchment. Break into pieces as large or as small as you want. To do so, remove from the refrigerator and allow to sit at room temperature to slightly soften for 5-10 minutes. Use a very sharp knife and cut.",durative,telic
once your beans have warmed up a little start to stir them.,durative,telic
Place the lettuce.,durative,telic
"I'm using a pre-sliced granary loaf for my sandwich, but any kind of regular bread will do. Take your bread and butter it. I'm using an olive oil spread, but other spreads are available.",durative,telic
Chop 4 cloves of garlic and a piece of ginger in the food processor and add it to the pan.,punctual,telic
Cover dish with foil and bake in a 350F oven for about 15-20 minutes or until tamale pie is simmering. Remove from oven and stir tamale pie with a spoon. Serve and enjoy!,durative,telic
Open the lid and leave just a little bit still attached.,durative,telic
Place the butter and sugar in a large mixing bowl and beat together until light and fluffy.,durative,telic
Pour Dark Chocolate Chips Into pan evenly.,durative,telic
1. Turn it on to about 425.,durative,telic
Add cool whip into the pudding,punctual,telic
Mix together the olive oil and spices to the potatoes and onions - microwave for 5 minutes on high (this step is technically not necessary but I have found that microwaving helps the spuds get a head start which is great if you have a bunch of hungry house guests waiting to be fed),durative,telic
Use the mess strainer ass you power the chai onto the cups so all of the loose tea and pod shells do not mix up with the steaming brew.,durative,telic
"In order to make the cupcake cake you'll need the following ingredients: 2 boxes of cake mix (any mix is fine, your choice),  eggs, oil, water, measuring cup, and a pan. The pan I have already has the shape of a cupcake. You can get it at a store for $10. ",durative,telic
Gather ingredients necessary for baking chocolate cupcakes.,durative,telic
"1 1/2 lbs ground beef (leanness is your preference.  Less lean will be juicier and more lean healthier.  I used 85% lean)2oz. blue cheese1/4 cup chives (chopped)1/8 teaspoon hot sauce1/2 teaspoon Worcestershire sauce1/2 teaspoon pepper3/4 teaspoon salt1/2 teaspoon dry mustardBuns (something hearty, like pretzel)",duratvie,telic
Cut an aubergine slice in half and use it for the ears.,punctual,telic
Set a stove-top burner to medium-high and place skillet on the burner. &#160,durative,telic
Slowly squeeze the piping bag and squirt it in a circular motion.,punctual,telic
"Plain rice is fine, but you can also liven it up with things like salt, butter or oil. Make sure you mix the flavoring with the rice properly.",durative,telic
"For this recipe you will need: FlourSugarVanilla ExtractAn eggOil, (vegetable preferred)Milk",durative,telic
Cut strawberries into small slices and add them on top of the bread and walnut butter.,punctual,telic
1. Start off with a piece of multigrain toasted bread. You can use French baguette to keep with the theme if you want. I used what I always have on hands. We basically want something with a crunch to it. I spread a generous amount of hummus over it. I used the one with some roasted peppers but the most basic type would work.,durative,telic
"Line the cupcake tin with cupcake liners. Then, with the ice cream scooper or regular spoon, scoop the batter into the cupcake tin.(This step may need to be repeated if you only have one cupcake tin.)",durative,telic
Spread the meat out on the dehydrator racks without touching each other and dehydrate at 155&#176,durative,telic
"Popcorn should start popping soon after it is put in, if the popcorn comes out of the bag, stop, reseal or remove some of the popcorn from the bag.",durative,telic
"All that water has been reduced. We're nearly there, but now we need to pay more close attention to avoid getting the salt stuck to the bottom of the pan. It's just a question of heating and stirring...",durative,telic
After a while all the water starts to become cloudy with the salt. This pic is how I had to have things set up (and try and cook at the same time!),durative,telic
Here is a list of ingredients you will need: 1 1/2 Lbs. Ground Beef 1 pack of taco seasoning 2 cans of rotel 2 cans of cream of chicken soup 1/2 small onion chopped 1/2 bell pepper chopped 2-3 jalapeno peppers seeded and chopped 16 ounce box of American process cheese (or velveeta) 1 13 ounce bag of unsalted tortilla chips finely crushed,durative,telic
"Retrieve the chosen box of cereal and other necessities such as a spork, a bowl, milk, and a napkin.",durative,telic
"To add extra sweet scrumptious flavor, consider adding a bit of honey. Distribute it evenly onto the slice of bread that has only jelly on it. ",durative,telic
Preheat  oven to 375 degrees (F). Whisk together flour and salt.,durative,telic
Fill the glass with ice.,durative,telic
"Line the bottom of a baking sheet or pan with parchment paper and pour the melted chocolate into the prepared baking pan, spreading with an offset spatula into a thin smooth layer. Place the baking sheet or pan in the refrigerator for 10-15 minutes or the freezer for about 8 minutes; or until almost completely set.",durative,telic
1 tbs olive oil1 tbs white wine vinegar 1 clove garlic1 tsp sugarSalt and pepper,,telic
"Into a bowl pour 1/2 cup of boiling water and 1/2 cup of cold waterAdd 1 tsp of sugar to the water and stir Add 1 tbsp of yeast to the water, stir and leave for 10 minutes (a froth should develop on the surface of the water)",durative,telic
"Sweeten to taste, with your choice of sweetener, and enjoy!",durative,telic
" Put condensed milk, yogurt, coconut milk and a few drops of lemon juice then blend it for 3 minutes.Then pour this mixture onto the chipped ice.",durative,telic
"For the dressing: Combine 1/2 cup mayo, 1/4 Dijon mustard, 2 Tbsp. ACV, 1 tsp. sugar, 2 1/2 tsp. celery seed, and a generous pinch of salt and pepper in a small bowl. Whisk together to completely combine.",durative,telic
"put the key rings on both ends of the chain. You can use a small carribener, or anything (a key ring works for me)",durative,telic
"Place the microwaved potatoes on a baking sheet. Cover with foil and bake at 475 for 15 min. Transfer baked slices to a serving dish. Using the back of a spoon, gently make an indention in the center of each potato. ",durative,telic
As water boils put in cream and coffee put about a table spoon in,durative,telic
Only for a minute though its all you need.,durative,telic
Dandelion is best when picked young. The older it gets the more bitter it gets. Someone in a previous post said dandelion contains latex. So if you are allergic to latex you may want to avoid dandelion.,durative,telic
"Peel  the garlic, juice the lemon.Put garlic, basil, capers and lemon juice into the blender with about half a cup of olive oil and start blending.",durative,telic
"Place dessertspoon size mixture on the baking tray, and flatten with a fork.&#160;",durative,telic
"Place apples in a greased 1-qt. baking dish. In a small bowl, combine the water,cinnamon and brown sugar. Sprinkle over apples Cover and bake at 350&#176; for 40-45 minutes or until apples are tender. Once Finish baking you can blend it to make the texture of the sauce smoother and you can just eat it like it is. ",durative,telic
Now put the first layer of cheese on top of the chips again put as much as u want remember it's only the first layer,durative,telic
"Peel the beetroot and slice into tiny fingersHeat a frying pan and pour a tsp of oilAdd the beetroot pieces and cook until soft.(takes 5 - 7 minutes on medium-heat)note: beetroot tends to dry quickly. Pour 1/4 cup of water to keep it soft and speedup the cooking process.Once they turn soft, take them into a serving bowl.Let it cool before serving",durative,telic
"Fill 30 cupcake tins with batter, 3/4 full. Bake in oven for about 17  minutes or until a toothpick inserted comes out clean. Cool in pans for about ten minutes then finish cooling on cooling rack.",durative,telic
"For this recipe you will need: FlourSugarVanilla ExtractAn eggOil, (vegetable preferred)Milk",durative,telic
"Break up the cooked bacon into bits and sprinkle them onto tortilla and lettuce. Then sprinkle on the cut up tomatoes. If you want to add the mayo, add it on top of the tomato bits.",durative,telic
now put it inside the freezer to make it frozen,durative,telic
After you are done mixing your ingredients you pour them into your pie crust,durative,telic
"Drain the 2 cans of white beans, but reserve 1/2 cup of the liquid. After the sausage and onions have roasted for 45 minutes, add the beans and reserved liquid and give it all a good stir. Return it to the oven for 10 minutes. ",durative,telic
"In a bowl put the lettuce, croutons, bacon and sliced ??chicken.",durative,telic
"Place the pie on indirect heat on the grill at 425 degrees F. for 20 minutes, reduce the temp to about 375 degrees F. for the last 20 to 25 minutes. Turn the pie every so often to allow for even cooking if needed.",durative,telic
Spread it with a table knife to soak the cake.,durative,telic
"Cover each chicken breast with a piece of plastic wrap. Place on a cutting board. Using a mallet or rolling pin, pound out chicken breasts so they are an even thickness (about &#188;-inch thick).  Season both sides with salt and pepper.",durative,telic
Put tight fitting Glass Cover on 8 Cake Pan and sit in the solar cooker. Adjust sides to focus maximum sun reflections on pan.,durative,telic
Use five pieces of cabbage.,durative,telic
Take a handful of dough and roll into 2 ball. Repeat until you have desired amount of balls.,durative,telic
Season the rice with spicy ketchup and some chicken stock powder (optional),durative,telic
Let the tea cool off before serving. Mine was so hot I poured myself a glass and had to put it in the freezer to cool down before I drank it. Add some ice to keep your drink cold and a mint leaf to give it some class. Enjoy!,durative,telic
Pour in some milk.,durative,telic
"Avocado halfSome taco meat - chicken or beefShredded CheeseTomato SalsaOptional: hot sauce, sour cream, other toppings",,telic
Leave to rise covered in a warm place till double in  size this may take 3-4 hours.,durative,telic
The ingeniousness to this recipe is that it only requires supplies that would be in the common household.You will need:A glass jar with a lidWaterTea bags (1 for each cup of water)A hot and sunny spot,durative,telic
"Get a nice firm pinch on the top of the banana. You might get a bit of smooshed banana goop on your fingers, but with practice you can do it cleanly. Besides, the banana goop tastes good. Lick it off your fingers!",durative,telic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top. ",durative,telic
this is after another 10 hrs in a low crockpot!,durative,telic
-Slowly fry them by pressing.Fry till they turn little brown color,durative,telic
after the time is up (7 minutes)  place on plate or grill to let cool for 4 minutes. this lets the juices flow thru out it .,durative,telic
Now cover the sauce with crackers. I like to put a lot on the bottom layer to make sure the lasagna will come out easily and absorb all the juices of the meats cooking.,durative,telic
Small plastic animals were used as cake toppers.,durative,telic
Drag a toothpick to make block marks in the icing,durative,telic
Place the tea bags into the water filled jar.,durative,telic
"Pre-heat the oven to 350 degrees Farenheit. Once the temperature is reached, place the cake pan in the oven and cook for 25 minutes.",durative,telic
"Place the covered cake ball on a piece of wax paper. Use the sprinkles, twizzlers, and M&M's to decorate the cake balls and make them look like snowmen. ",durative,telic
You will need 1 scoop of mango sorbet 1 cup of orange juice and 1 blender or hand blender ( i used a hand blender) 1 paper cup and popsicle stick or a popsicle maker this recipe makes only 1 mango orange ice pop,durative,telic
One bottle of Franks Red Hot Buffalo Sauce is perfect for the recipe!,durative,telic
