id,caption,category,class,subclass,verb,comment
1146,combine all the ingredients in a mixing bowl .,i,telic,durative,combine ingredients,
10145,politician speaks to sailors and armed force .,d,atelic,durative,speaks to sailors,
5669,a friend is someone who can see the truth and pain in you even when you are fooling everyone else .,d,state,durative,is someone,
10422,"a fashion look featuring tee - shirt , ripped skinny jeans and adidas originals shoes .",e,error,,noun phrase or adjective phrase syntax,
1400,van set drawing style - this is why i love his work .,xd,state,durative,love his work,
7454,the inventor of the chocolate chip cookie sold the idea in exchange for a lifetime supply of chocolate .,d,telic,punctual,sold the idea,
2035,"fire engines called : this was the scene after lightning hit a house , destroying the roof of the property",xd,state,durative,was the scene,
4202,"after repairing the walls , we spot paint them and cut the edges",d,telic,durative,spot paint the walls,
8592,"without gravity , the flame of a candle is round and blue",d,state,durative,is round,
8617,transform your bedroom into a glamorous escape from the everyday .,d,telic,durative,transform your bedroom into an escape,
6758,"bedroom in concrete exudes a minimal , rustic vibe",d,state,durative,exudes a vibe,
12766,our dining table seats 10 with additional seating at the bar and breakfast table,d,state,durative,seats 10,
6005,"playing in the parade , sports team play down main street last may .",xd,atelic,durative,play down main street,
10041,looking thru the glass in the elevator,e,error,,noun phrase or adjective phrase syntax,
5075,working hard : person wore dark sunglasses as she made her way,xd,atelic,durative,wore dark sunglasses,
11325,the couple enjoyed dinner after the event,d,telic,durative,enjoyed dinner,
1098,try to understand people before trusting them .,d,atelic,durative,try to understand,
3481,some people claim that marriage interferes with romance .,d,state,durative,claim,generic
6152,pop artist performs on stage .,d,atelic,durative,performs on stage,
6501,"image may contain : person , playing a musical instrument and on stage",d,state,durative,may contain person,
1898,"breaking into filming location : poster of crime fiction film , a movie in which she acted",e,error,,noun phrase or adjective phrase syntax,
8943,new newspaper launched in town which lost weekly last month,d,telic,punctual,launch newspaper,
5317,members sit stationed outside a home on the block tuesday with reports of a man barricaded inside .,d,atelic,durative,sit outside,
11612,a helicopter prepares to drop special warfare,d,atelic,durative,prepares to drop,
12260,fashion designer is a fashion designer and entrepreneur who founded her eponymous company .,d,state,durative,is a designer,
9014,"theme parks are introducing an app to help guests order food in advance , cutting the time in queues .",d,telic,durative,introduce an app,
8424,biomedical research has many angular walls .,d,state,durative,has walls,
9627,country artist performs a surprise set during festival,d,telic,durative,performs a set,
11497,rainbow with small boat in the foreground,e,error,,noun phrase or adjective phrase syntax,
5801,this is my first attempt to capture a city at night .,d,state,durative,is an attempt,
2639,animal and yearling mule deer are curious to see who is visiting .,d,state,durative,are curious,
5950,"person , decided to fan the flames of love on holiday together -- by setting fire to their sofa",d,telic,punctual,decided to do something,
8,a man holds what is believed to be some of the debris that caused damage to vehicles monday afternoon after airliner returned to airport following problems after take off .,d,atelic,durative,holds something,
8125,person attends the fall fashion show during fashion week .,d,atelic,durative,attends show,
1732,every modern classic woman needs a red leather belt in her wardrobe .,d,state,durative,needs belt,
4762,"with a smile as vivacious as hers , one is bound to fall in love with her !",d,telic,punctual,fall in love,
12682,"person , right , makes a play to person to retire person during their game .",d,telic,durative,makes a play,
10874,a company of angels follows us wherever we go .,d,atelic,durative,follow us,
11172,we are growing exponentially as a brand,d,atelic,durative,grow exponentially,
11805,"caucasian athletic girl with ponytail is boxing near the boxing ring , slow motion",d,atelic,durative,boxing,
6065,i want to look this good when i 'm 50 .,d,state,durative,want to look,
7136,putting a brave face on : the couple with person shortly before they announced their split,e,error,,noun phrase or adjective phrase syntax,
9010,young brothers sledging through a forest,e,error,,noun phrase or adjective phrase syntax,
10739,"large double room with chest of drawers and wardrobe , fans are also in each room",e,error,,noun phrase or adjective phrase syntax,
1131,cyclists are discussing at the beach,d,atelic,durative,discuss,
3136,a stone wall leads up to a solitary tree at sunset,d,state,durative,leads to a tree,generic
5081,young people skate boarding next to equestrian statue of person,e,error,,noun phrase or adjective phrase syntax,
8023,"in an attempt to retail , the beautiful building 's windows are bricked in .",d,telic,durative,brick in windows,
9136,great spotted woodpecker isolated on a white background in studio shot,e,error,,noun phrase or adjective phrase syntax,
7610,"the world 's best cake mix is made by food manufacturing business , which was founded .",d,state,durative,is made,generic
3669,bedroom with a large picture window and sitting area .,e,error,,noun phrase or adjective phrase syntax,
3050,people have some fun on their wedding day - this photo is from a city,d,state,durative,have fun,
5172,add the onions to the mixture and mix everything together .,i,telic,durative,add the onions to the mixture,
7755,actor is seen filming on the set,d,atelic,durative,is seen filming,
4930,rs - coming in the summer .,e,error,,noun phrase or adjective phrase syntax,
2132,soccer player raises a smile during the match .,d,atelic,durative,raise a smile,
578,"it may saywedding because of the ring , but i 'm pinning it for the nail polish .",d,state,durative,say,generic (means)
10301,teaching young people about history can be a complex and highly sensitive task,d,state,durative,be,
8001,closet doors can help transform your entire room and make you pay more attention to a mostly forgotten space we use everyday .,d,telic,durative,transform your room,
2734,photographers were not quick enough for how fast this dish went,d,state,durative,were quick,
12547,"last year , person posted an interesting article on how to make nice looking expanded metal",d,telic,punctual ,posted article,
5073,all you 've ever wanted to know about pallet wood,q,state,durative,want to konw,
2618,have you tried yoga ? here are some healthy benefits of practicing # yoga .,q,atelic,durative,try yoga,
1094,"sketch of rock and roll artist done some time ago , forgot about it and thought i 'd share it with you all !",xd,telic,punctual ,forgot about it,or atelic durative
12450,close up of a smiling baby with his mother kissing him,e,error,,noun phrase or adjective phrase syntax,
8488,"here he comes : emerging on set between takes he was and he was dressed in character and sporting a thick greying beard and spectacles for his leading role as person , a partner",xd,atelic,durative,dressed in character,no way to code idiom 'here he comes'
546,the beautiful white umbrella made of bamboo and fabric,e,error,,noun phrase or adjective phrase syntax,
3947,"some stickers are printed , whilst others look more handmade , like this one seen .",d,state,durative,be printed = mass-produced,
11601,charging invention costs as little as . 36 a year,d,state,durative,costs an amount,generic
5063,the report found that there was not enough time for the aircraft to move away from the drone - like this one pictured here flying over russian federal city,d,telic,punctual,found that (made the determination),
12452,stages of a relationship are similar to the many levels of infrastructure within a freeway,d,state,durative,are similar,
3685,some roofs cost more to fix than others .,d,state,durative,costs an amount,
7402,feel like going on a shopping spree ? check out shopping center !,q,state,durative,feel like something,
9686,there are free hotel rooms going this summer - but there is a small catch .,d,state,durative,are rooms,
4973,love the reflection and viewpoint for this photo .,d,state,durative,i love this,
9891,person appears in a portrait taken,d,state,durative,appears in photo,
1890,person kinda resembles my current project .,d,state,durative,resembles project,
1628,"american football player , left , drives into person during the second half of a college basketball game .",d,telic,punctual,drives into person,
8608,"black is the most beautiful colour , because it does not reflect - it absorbs all into itself .",d,state,durative,is beautiful,
5494,this is how i started my day today .,d,state,durative,is how,
9054,funny little dog plays with a pillow,d,atelic,durative,play with pillow,
10918,person poses with her bronze medal following the meter backstroke event .,d,atelic,durative,poses with medal,
5958,"football player , seen here during a training session earlier in the week , is set for his third world cup .",d,state,durative,is set for,
3014,slash keeps it ugly and classy with a bad top hat,d,atelic,durative,keeps it classy,
8776,"flowers are one of my favorites , i used to love the vines growing wild all around my house as a kid !",d,state,durative,are favorite,
2131,testing out a cool design i may paint for a friend of mine ; person,e,error,,noun phrase or adjective phrase syntax,
9544,"image may contain : person , on stage , playing a musical instrument and outdoor",d,state,durative,image may contain,
802,there 's a new toy in town .,d,state,durative,is a toy,
4736,we finished the day at an indoor mini water park .,d,telic,punctual,finished the day,
6283,"basketball player , above , steals the ball away from basketball player during the first half of a basketball game .",d,telic,punctual,steals the ball,
9999,"astronaut , who became the 9th person to walk , has died at age",d,telic,punctual,died,
3224,every one of these organs has to function properly if a woman wishes to get pregnant .,d,atelic,durative,function properly,
9448,little girl on train - with reflection in window as she watches the countryside go by,e,error,,noun phrase or adjective phrase syntax,
11155,near the village this arched bridge has somehow become the last place dogs visited before leaping to their deaths .,d,telic,punctual,become,
7154,"one of the biggest differences with mainland hiking was the presence of tropical trees , many of which i had not seen before .",d,state,durative,was the trees,
6993,selecting a planned line current active planned line is red with arrows .,e,error,,noun phrase or adjective phrase syntax,interface instruction
5966,quick change : later was seen wearing a hoodie and light jeans rolled up over white sneakers,xd,atelic,durative,was seen wearing,
3187,learn more about this animation film - inspired birthday party .,i,atelic,durative,learn more about this,
12204,find the bears : look closely and you 'll see brown bears walking near the water .,i,telic,punctual,find the bears,
5612,football player exchanged signed shirts in the summer when interest were,d,atelic,durative,exchanged signed shirts,
4147,fans turned on the players and manager,d,telic,punctual,turned on players,
1778,this was everywhere ... slowly floating down the river towards bay .,d,state,durative,was everywhere,
9203,comedian arrives at the premiere held .,d,telic,punctual,arrives at premiere,
3516,this is a stand alone unisex skull and throat face paint .,d,state,durative,is a skull,
6822,i love the way eclectic fabric and stitching come together to add depth to quilts like this one .,d,state,durative,i love this,
12732,what our sunsets would look like if the sun was replaced with other stars,q,state,durative,look like,generic
11250,very tiny organisms made up of a small number of cells they can have characteristics similar to plants or animals,d,state,durative,have characterisitcs,
2997,"a sustainable financial product makes money for the bank , but also provides a service that meets the needs of customers .",d,atelic,durative,makes money,
7342,"for the premiere , the actress wore her hair up with loose wavy tendrils -- an atypical look for her , but it showed off her striking face beautifully .",d,atelic,durative,wore hair up,
11163,young woman with a suitcase walking down an empty road,e,error,,noun phrase or adjective phrase syntax,
3096,"person , chief of staff , addresses soldiers and civilians assigned",d,atelic,durative,addresses soldiers,
5767,the flag animated background features a flag with glossy fabric and cotton texture blowing in the wind .,d,state,durative,features a flag,
10456,person pick a flower in sunset royalty - free,d,telic,punctual,picks a flower,
1359,treehouse is a-story residential building clad in metal panels that fit into its wooded context .,d,state,durative,is a building,
9335,a flight had to make an emergency landing on friday .,d,telic,punctual,make a landing,
10238,"the front of the building , this is the half that belongs",xd,state,durative,is half,
10665,the beautiful strong dog walks outdoors alone in the winter afternoon stock photo - 15524665,d,atelic,durative,walks outdoors,
5376,what diamonds look like before they are cut .,q,state,durative,look like,
10805,there was panic in the streets last night after a false alarm at a vigil,d,state,durative,was panic,
617,"float stuck at corner , parade grinds to a halt !",d,telic,durative,grind to a halt,
5437,many opted to go for the tried and tested70s style that was a popular look at last year 's festivities,d,telic,punctual,opted to go for style,
6201,"image may contain : person , on stage , playing a musical instrument and guitar",d,state,durative,may contain person,
1884,the church tower lit up at night,e,error,,noun phrase or adjective phrase syntax,
6542,how to launch your startup while still working a 9 - to - 5 job,q,telic,punctual,launch startup,
9679,"i have no idea how that american flag got in this picture of the construction , but i love that it is there !",d,state,durative,have no idea,
7933,a man falls asleep whilst selling bunches of flowers in a street,d,telic,punctual,falls asleep,
8752,painting by visual artist of general who captured a city,e,error,,noun phrase or adjective phrase syntax,
12150,"everyday working people life , there work , struggle of living , how they live there life .",e,error,,noun phrase or adjective phrase syntax,
6082,who 's the boy that can laugh at a storm cloud ? that 's me person !,q,state,durative,is the boy,
5857,method introduces a dish and hand soap in a bottle made from plastic debris washed up on beaches .,d,telic,punctual,introduces new brand of soap,
9331,"enhance your event with a quality performance , we can help call us today !",i,atelic,durative,enhance the event with a performance,
11271,young boy hanging and playing with a sparkling ornament on a christmas tree - slow motion - mixed,e,error,,noun phrase or adjective phrase syntax,
2957,found a tie in my closet that almost matched my jacket perfectly .,d,telic,punctual,found a tie,
3703,close up of artichokes growing,e,error,,noun phrase or adjective phrase syntax,
721,person gives high fives to fellow graduates during the ceremony on thursday .,d,atelic,durative,gives high fives,
6388,and off i go : wrestler was seen hopping into her car and speeding off after leaving a beauty salon,xd,atelic,durative,was seen hopping into car,
7734,person in action during the mini camp held,e,error,,noun phrase or adjective phrase syntax,
4954,"she was seen wearing a necklace emblazoned when she visited him , since the prisoner now goes by the name",d,atelic,durative,was seen wearing,
7620,"after the lengthy show , the audience bounded to their feet with the third and final standing ovation of the night , offering the musicians a well deserved farewell .",d,telic,durative,bounded to their feet,
12242,exterior on the back addition being painted a darker gray for a more graphic contrast from the original building .,e,error, ,noun phrase or adjective phrase syntax,
6991,flying over the forest in the mountains of drone,e,error,,noun phrase or adjective phrase syntax,
12802,warning : you 'll never look at pizza the same way again .,d,atelic,durative,look at pizza,
931,"news gathering car remained , parked outside house .",d,state,durative,remained parked,
11165,give farm equipment time to find a place to pull over on narrow roads so you can pass .,i,telic,durative,give them time,
3357,traditional russian fish smelt on the wooden table,e,error,,noun phrase or adjective phrase syntax,
559,cars drive along a main road,d,atelic,durative,drive along road,
1914,"a secret , newly - built bunker is situated underneath the sprawling grounds",d,state,durative,is situated,
10118,person led the ceremonial cake cutting for the national day,d,telic,durative,led the ceremony,
7048,young penguin chased away from the nests running up a very muddy incline,d,error,,noun phrase or adjective phrase syntax,
2876,"video footage showed the men enter the property , through patio doors",d,state,durative,showed something,
10268,operatic pop artist arrives for awards,d,telic,punctual,arrives for awards,
8138,person leads a group through an exercise,d,telic,durative,leads a group through an exercise,
1690,"hand holding a bright ball , concept of magic",e,error,,noun phrase or adjective phrase syntax,
6862,playground by the sound : it 's open !,xd,state,durative,is open  ,
3155,troubled businessman sitting on a sofa and holding his head between hands,e,error,,noun phrase or adjective phrase syntax,
6381,this home is within walking distance has to offer .,d,state,durative,is within walking distance,
2048,play around with different period times to get the look that you want and fits your wedding theme .,d,atelic,durative,play around,
7483,relaxed : person casually slung his arm around the model 's shoulder,xd,telic,durative,slung arm around shoulder,
5078,charming toddlers absorbed in painting and showing their pictures to each other,e,error,,noun phrase or adjective phrase syntax,
358,the exhibition features large - format graphics designed by person that translate its contents into contemporary visual language photo,d,state,durative,features  ,
7207,on target : brave pilots are on a course straight into these enormous flames as they release tonnes of water onto the fire,xd,state,durative,are on a course,
10435,slot machine close up of a winning spin on the slot machine .,e,error,,noun phrase or adjective phrase syntax,
2085,film director attends the ceremony honoring actor with a star .,d,atelic,durative,attends ceremony,
12142,close up slider shot of red flowers blooming on a tree with a palm and blue sky in the background .,e,error,,noun phrase or adjective phrase syntax,
4828,looks like the perfect rear elevation to capture water views !,d,state,durative,looks like,
